,Periodo,Natality,Men_Age,Women_Age,Population_Growth,Foreigners_Ratio,Foreigner_Women,Masculinity_Ratio,Marriages,Unemployment_Ratio,Unemployment_Women,Economic_Crisis,Confination,Facebook,Instagram_Tinder,Law_Change
0,2021,7.12,42.5,45.05,0.72,11.33,18.558333333333334,96.09,143515,14.785,30.5425,0,1,1,1,1
1,2020,7.19,42.28,44.83,1.4,11.04,18.39333333333333,96.13,87481,15.5325,33.905,0,1,1,1,1
2,2019,7.62,42.08,44.63,8.4,10.31,17.078333333333333,96.16,161389,14.105,28.916500000000003,0,0,1,1,1
3,2018,7.94,41.88,44.43,5.96,9.78,16.013333333333335,96.24,162743,15.254999999999999,29.075,0,0,1,1,1
4,2017,8.41,41.66,44.22,2.82,9.5,15.295555555555556,96.38,168989,17.225,32.672000000000004,0,0,1,1,1
5,2016,8.8,41.41,43.97,1.87,9.51,15.306666666666665,96.51,171023,19.634999999999998,37.78,0,0,1,1,1
6,2015,9.02,41.16,43.73,-0.2,9.59,15.436111111111112,96.63,165172,22.0575,41.393,1,0,1,1,1
7,2014,9.17,40.86,43.43,-1.35,10.06,16.251666666666665,96.8,159279,24.4425,44.43,1,0,1,1,1
8,2013,9.11,40.52,43.1,-4.63,10.86,17.685555555555553,97.08,153375,26.095,46.28,1,0,1,0,1
9,2012,9.69,40.22,42.81,-1.93,11.18,18.182222222222222,97.39,165101,24.7875,43.6905,1,0,1,0,1
10,2011,10.07,39.95,42.56,3.23,11.38,18.38,97.59,159798,21.39,37.679,1,0,1,0,0
11,2010,10.42,39.68,42.31,3.88,11.62,18.715555555555554,97.78,167247,19.8575,34.918,1,0,1,0,0
12,2009,10.65,39.44,42.09,5.33,11.65,18.657777777777778,97.95,174062,17.855,31.346500000000002,1,0,0,0,0
13,2008,11.28,39.3,41.96,12.4,11.14,17.70611111111111,97.89,194022,11.245,22.652,0,0,0,0,0
14,2007,10.86,39.21,41.89,19.55,9.94,15.581666666666669,97.59,201579,8.2325,18.9225,0,0,0,0,0
15,2006,10.85,39.09,41.79,17.46,8.93,13.725555555555555,97.44,203453,8.4525,19.2165,0,0,0,0,0
16,2005,10.65,38.97,41.68,16.34,7.92,12.060555555555556,97.15,208146,9.1525,20.2465,0,0,0,0,0
17,2004,10.57,38.83,41.55,17.47,6.82,10.324444444444445,96.77,216149,10.965,22.949,0,0,0,0,0
18,2003,10.44,38.72,41.45,17.05,5.65,8.466666666666667,96.51,212300,11.485,24.1375,0,0,0,0,0
19,2002,10.08,38.62,41.34,19.13,4.24,6.231111111111111,96.16,211522,11.45,23.737000000000002,0,0,0,0,0
